tcontig	focal	ortho	pvalue	mannUstat	numsamp	mean_test_r2	mean_background_r2	q95	q99	pred_quantile	pred_p	emp_p	pine	qvalue
comp14426_c0_seq1	DD_0	DD_0	1.96958489569459e-09	316144	41	0.111562023394772	0.038735717164252	NA	NA	NA	6.00032271782102	0.00485052464858449	comp14068_c0_seq1	0.0482268101422376
comp14426_c0_seq1	LAT	LAT	1.45646352118441e-06	294228	41	0.122950947187098	0.0484469357724453	NA	NA	NA	4.81714528418749	0.0193031082953871	comp14068_c0_seq1	0.127789280607482
comp14426_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	1.41768071882185e-07	302486	41	0.0803988029135059	0.0318394894973068	NA	NA	NA	5.26296930531113	0.0115818649772322	comp14068_c0_seq1	0.0919529886071163
comp14426_c0_seq1	EMT	EMT	4.04256365989771e-09	313961	41	0.130383031442266	0.0466580221796518	NA	NA	NA	5.88246926200691	0.00801821421500692	comp14068_c0_seq1	0.0653505633860553
comp14426_c0_seq1	TD	TD	4.18512875280402e-10	320713	41	0.148368505827982	0.051163937279153	NA	NA	NA	6.24698897508839	0.00603840823599289	comp14068_c0_seq1	0.0565783771061693
comp14426_c0_seq1	MCMT	MCMT	8.42709325846821e-10	318670	41	0.142663973658328	0.0479188075050934	NA	NA	NA	6.13669368868059	0.00593941793704222	comp14068_c0_seq1	0.061705303456876
comp14426_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	4.92030165737327e-07	298160	41	0.0776965324524061	0.0323386188870638	NA	NA	NA	5.02942187065614	0.0130667194614927	comp14068_c0_seq1	0.0875505129002177
comp17000_c2_seq1	TD	TD	9.99555844443627e-08	195427	24	0.111800079614201	0.051163937279153	NA	NA	NA	5.3268399249494	0.0141556127499505	comp3089_c1_seq1	0.0905259457167004
comp17000_c2_seq1	LAT	LAT	5.5277423326283e-07	190899	24	0.0980850576494285	0.0484469357724453	NA	NA	NA	5.00706144800917	0.0157394575331617	comp3089_c1_seq1	0.123989599337463
comp17000_c2_seq1	MCMT	MCMT	4.93979529690301e-07	191205	24	0.0980442103290794	0.0479188075050934	NA	NA	NA	5.02867191928649	0.0174222926153237	comp3089_c1_seq1	0.096815142788152
comp17000_c2_seq1	EMT	EMT	2.38128792857624e-06	186807	24	0.0859588625281347	0.0466580221796518	NA	NA	NA	4.71807436151636	0.0223718075628588	comp3089_c1_seq1	0.111690355665141
comp17000_c2_seq1	Winter_cold_injury_p	Winter_cold_injury_p	1.18935640778494e-08	200729	24	0.078800908240835	0.0323386188870638	NA	NA	NA	5.70128018217933	0.00712730152445062	comp3089_c1_seq1	0.06830647668134
comp17000_c2_seq1	DD_0	DD_0	1.15645369199673e-06	188859	24	0.0747078210380815	0.038735717164252	NA	NA	NA	4.86299163949369	0.0172243120174222	comp3089_c1_seq1	0.0949772893617545
comp17000_c2_seq1	Fall_cold_injury_p	Fall_cold_injury_p	3.06875765758072e-07	192487	24	0.068499123733282	0.0318394894973068	NA	NA	NA	5.11920990679474	0.0130667194614927	comp3089_c1_seq1	0.0964448734518921
comp20662_c0_seq1	MCMT	MCMT	3.06814788609545e-10	635118	92	0.0957356351371008	0.0479188075050934	NA	NA	NA	6.29531348405684	0.00524648584438725	comp13948_c0_seq1	0.0585214110897239
comp20662_c0_seq1	LAT	LAT	5.05865760929829e-08	611583	92	0.0864190182620144	0.0484469357724453	NA	NA	NA	5.44925423916324	0.0111859037814295	comp13948_c0_seq1	0.103628258413674
comp20662_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	0.000146615230051882	565615	92	0.0455552391284343	0.0318394894973068	NA	NA	NA	3.79675152536383	0.0424668382498515	comp13948_c0_seq1	0.18865174242065
comp20662_c0_seq1	TD	TD	3.83695863826605e-12	653137	92	0.107430710791761	0.051163937279153	NA	NA	NA	6.94307815513132	0.00267273807166901	comp13948_c0_seq1	0.0420705119707563
comp20662_c0_seq1	DD_0	DD_0	3.92786889194333e-09	623766	92	0.0741421206657704	0.038735717164252	NA	NA	NA	5.88722066281052	0.00574143733914079	comp13948_c0_seq1	0.052354815736498
comp20662_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	1.25493397389175e-05	581501	92	0.050133725422245	0.0323386188870638	NA	NA	NA	4.36783702204451	0.0238566620471193	comp13948_c0_seq1	0.122557754045985
comp20662_c0_seq1	EMT	EMT	4.387624958555e-10	633568	92	0.0908112776486208	0.0466580221796518	NA	NA	NA	6.23959256501775	0.00494951494753515	comp13948_c0_seq1	0.0536425546575798
comp7641_c0_seq1	LAT	LAT	1.2208373117385e-06	331259	47	0.0911453634534278	0.0484469357724453	NA	NA	NA	4.85225064569025	0.0182142150069293	comp842_c1_seq1	0.127789280607482
comp7641_c0_seq1	MCMT	MCMT	3.78118250914296e-08	344125	47	0.100373561431687	0.0479188075050934	NA	NA	NA	5.50080357899987	0.0107899425856266	comp842_c1_seq1	0.0749845772863929
comp7641_c0_seq1	EMT	EMT	1.346312625458e-08	347682	47	0.10660842069146	0.0466580221796518	NA	NA	NA	5.68010583174216	0.0096020589982182	comp842_c1_seq1	0.0715457572745471
comp7641_c0_seq1	TD	TD	1.73189604384718e-09	354448	47	0.115381295283817	0.051163937279153	NA	NA	NA	6.02116825571021	0.00742427242130272	comp842_c1_seq1	0.0595041980727821
comp7641_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	3.06509455707434e-08	344857	47	0.0692941753645692	0.0318394894973068	NA	NA	NA	5.53770244012086	0.00821619481290836	comp842_c1_seq1	0.071754768032733
comp7641_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	0.000363647010113331	305726	47	0.0586103692288425	0.0323386188870638	NA	NA	NA	3.56517602683477	0.0496931300732528	comp842_c1_seq1	0.205161088243203
comp7641_c0_seq1	DD_0	DD_0	2.11594550319607e-07	337937	47	0.0778495239182646	0.038735717164252	NA	NA	NA	5.18887714099894	0.0124727776677885	comp842_c1_seq1	0.0768488674603762
comp8316_c0_seq1	MCMT	MCMT	6.46844370871879e-05	93273	11	0.184395344709459	0.0479188075050934	NA	NA	NA	3.99508814163519	0.0396951098792319	comp9644_c0_seq1	0.14592513173917
comp8316_c0_seq1	MCMT	MCMT	6.46844370871879e-05	93273	11	0.184395344709459	0.0479188075050934	NA	NA	NA	3.99508814163519	0.0396951098792319	comp8130_c0_seq1	0.14592513173917
comp8316_c0_seq1	LAT	LAT	5.69514631932077e-05	93561	11	0.190826078169333	0.0484469357724453	NA	NA	NA	4.02515072844028	0.0392001583844783	comp9644_c0_seq1	0.158469465671574
comp8316_c0_seq1	LAT	LAT	5.69514631932077e-05	93561	11	0.190826078169333	0.0484469357724453	NA	NA	NA	4.02515072844028	0.0392001583844783	comp8130_c0_seq1	0.158469465671574
comp8316_c0_seq1	DD_0	DD_0	0.000170293224358109	91016	11	0.14100589388462	0.038735717164252	NA	NA	NA	3.75949349434675	0.0455355375173233	comp9644_c0_seq1	0.15840162370848
comp8316_c0_seq1	DD_0	DD_0	0.000170293224358109	91016	11	0.14100589388462	0.038735717164252	NA	NA	NA	3.75949349434675	0.0455355375173233	comp8130_c0_seq1	0.15840162370848
comp8316_c0_seq1	TD	TD	1.17151590097272e-05	96988	11	0.202298262190086	0.051163937279153	NA	NA	NA	4.38287463462437	0.0317758859631756	comp9644_c0_seq1	0.132916123031911
comp8316_c0_seq1	TD	TD	1.17151590097272e-05	96988	11	0.202298262190086	0.051163937279153	NA	NA	NA	4.38287463462437	0.0317758859631756	comp8130_c0_seq1	0.132916123031911
comp1343_c0_seq1	TD	TD	3.73211794466287e-06	338708	49	0.0812774355003939	0.051163937279153	NA	NA	NA	4.62579328139303	0.0260344486240348	comp1594_c0_seq1	0.120405424531689
comp14791_c0_seq1	MCMT	MCMT	2.17358695975952e-09	251338	31	0.151006289473211	0.0479188075050934	NA	NA	NA	5.98430390344846	0.00772124331815482	comp9808_c0_seq1	0.0657395692214805
comp14791_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	8.08510344118477e-07	234419	31	0.0883530916105345	0.0318394894973068	NA	NA	NA	4.9333329704579	0.015343496337359	comp9808_c0_seq1	0.103076821548412
comp14791_c0_seq1	LAT	LAT	1.25553506064597e-08	246633	31	0.149095670455285	0.0484469357724453	NA	NA	NA	5.69203968926792	0.0093050881013661	comp9808_c0_seq1	0.0970353386119275
comp14791_c0_seq1	TD	TD	7.827008679322e-11	259703	31	0.170429837177183	0.051163937279153	NA	NA	NA	6.50391923854309	0.00485052464858449	comp9808_c0_seq1	0.0495981788283999
comp14791_c0_seq1	DD_0	DD_0	1.98711802557289e-08	245363	31	0.115457921571086	0.038735717164252	NA	NA	NA	5.61315009266659	0.00811720451395759	comp9808_c0_seq1	0.059791402370224
comp14791_c0_seq1	EMT	EMT	5.16091367632252e-09	249046	31	0.143636136458146	0.0466580221796518	NA	NA	NA	5.84192992281046	0.00821619481290836	comp9808_c0_seq1	0.0653505633860553
comp14791_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	7.5296804951602e-10	254079	31	0.103244753754683	0.0323386188870638	NA	NA	NA	6.15456877296363	0.00445456345278161	comp9808_c0_seq1	0.0555759821251801
comp17701_c0_seq1	MCMT	MCMT	1.38915925262578e-06	168920	21	0.122745993734	0.0479188075050934	NA	NA	NA	4.82659148919201	0.0208869530785983	comp9808_c0_seq1	0.103977721415353
comp17701_c0_seq1	TD	TD	2.30187374281219e-07	173510	21	0.13966462204959	0.051163937279153	NA	NA	NA	5.17318183549038	0.0161354187289645	comp9808_c0_seq1	0.0982993693162863
comp17701_c0_seq1	EMT	EMT	1.03906416220908e-06	169682	21	0.119389588684576	0.0466580221796518	NA	NA	NA	4.8841300172703	0.0191051276974856	comp9808_c0_seq1	0.0990288204678621
comp17701_c0_seq1	Winter_cold_injury_p	Winter_cold_injury_p	7.00361575513346e-07	170704	21	0.0834578247144555	0.0323386188870638	NA	NA	NA	4.96130111398423	0.0137596515541477	comp9808_c0_seq1	0.087927529443578
comp17701_c0_seq1	LAT	LAT	7.67704213227896e-06	164251	21	0.123089064136888	0.0484469357724453	NA	NA	NA	4.47403586242359	0.0268263710156404	comp9808_c0_seq1	0.146220292692042
comp17701_c0_seq1	DD_0	DD_0	3.97886661772326e-06	166085	21	0.0937693811066501	0.038735717164252	NA	NA	NA	4.6125209811842	0.0217778657691546	comp9808_c0_seq1	0.0973466824039005
comp17701_c0_seq1	Fall_cold_injury_p	Fall_cold_injury_p	4.55973199524299e-05	158995	21	0.0700754490104571	0.0318394894973068	NA	NA	NA	4.07715593646625	0.0334587210453375	comp9808_c0_seq1	0.159385180252335
